JobType,JobLocationByState,HeadquartersState,SizeCoLowEndEstimate ,SizeCoHighEndEstimate ,AgeOfCompany,RevenuesLowEndEstimate,RevenuesHighEndEstimate,SalaryLowEndEstimate,SalaryHighEndEstimate,Rating,RowID
1,32,32,201,500,59,100000000,500000000,37000,66000,3.2,1/1/1900
1,32,32,10000,10000,127,2000000000,5000000000,37000,66000,3.8,1/2/1900
1,32,32,1001,5000,17,-1,-1,37000,66000,3.4,1/3/1900
1,32,46,201,500,18,50000000,100000000,37000,66000,4.1,1/4/1900
1,32,32,501,1000,11,100000000,500000000,37000,66000,3.9,1/5/1900
1,32,7,1001,5000,6,-1,-1,37000,66000,3.9,1/6/1900
1,32,32,1001,5000,19,-1,-1,37000,66000,4.4,1/7/1900
1,32,32,201,500,106,100000000,500000000,37000,66000,3.7,1/8/1900
1,32,52,5001,10000,124,1000000000,2000000000,37000,66000,4,1/9/1900
1,32,32,501,1000,7,-1,-1,37000,66000,4.4,1/10/1900
1,32,32,10000,10000,179,5000000000,10000000000,37000,66000,4,1/11/1900
1,30,52,1,50,-1,-1,-1,37000,66000,-1,1/12/1900
1,32,32,10000,10000,136,2000000000,5000000000,37000,66000,3.7,1/13/1900
1,32,32,201,500,16,100000000,500000000,37000,66000,3,1/14/1900
1,30,3,1001,5000,4,1000000,5000000,37000,66000,3.4,1/15/1900
1,32,32,1,50,-1,-1,-1,37000,66000,3.6,1/16/1900
1,32,32,201,500,19,-1,-1,37000,66000,3.8,1/17/1900
1,32,32,51,200,24,25000000,50000000,37000,66000,3.8,1/18/1900
1,32,21,501,1000,62,100000000,500000000,37000,66000,3.9,1/19/1900
1,32,32,51,200,14,-1,-1,37000,66000,4.9,1/20/1900
1,32,5,10000,10000,22,10000000000,10000000000,37000,66000,4.4,1/21/1900
1,32,5,-1,-1,-1,-1,-1,37000,66000,-1,1/22/1900
1,32,15,10000,10000,51,5000000000,10000000000,37000,66000,3.3,1/23/1900
1,32,22,201,500,-1,1000000,5000000,37000,66000,3.5,1/24/1900
1,32,35,1,50,-1,-1,-1,37000,66000,3.8,1/25/1900
1,32,5,1,50,-1,-1,-1,37000,66000,4,1/26/1900
1,32,38,201,500,9,10000000,25000000,37000,66000,5,1/27/1900
1,32,32,51,200,3,-1,-1,37000,66000,4.8,1/28/1900
1,32,32,1,50,-1,1000000,5000000,37000,66000,3.7,1/29/1900
1,32,51,1,50,-1,-1,-1,37000,66000,4.7,1/30/1900
1,32,47,51,200,15,25000000,50000000,46000,87000,3.6,1/31/1900
1,30,38,1,50,-1,1000000,5000000,46000,87000,3.6,2/1/1900
1,32,30,1,50,-1,-1,-1,46000,87000,3.5,2/2/1900
1,32,5,1001,5000,9,-1,-1,46000,87000,3.2,2/3/1900
1,32,52,-1,-1,-1,-1,-1,46000,87000,-1,2/4/1900
1,32,33,10000,10000,116,10000000000,10000000000,46000,87000,3.7,2/5/1900
1,32,32,51,200,2,1000000,5000000,46000,87000,-1,2/6/1900
1,32,13,1,50,-1,-1,-1,46000,87000,3.6,2/7/1900
1,32,32,10000,10000,179,5000000000,10000000000,46000,87000,4,2/8/1900
1,32,5,51,200,-1,10000000,25000000,46000,87000,4.6,2/9/1900
1,32,32,1,50,-1,-1,-1,46000,87000,-1,2/10/1900
1,32,27,1001,5000,-1,-1,-1,46000,87000,-1,2/11/1900
1,32,5,51,200,4,-1,-1,46000,87000,5,2/12/1900
1,32,30,1,50,-1,1000000,5000000,46000,87000,4,2/13/1900
1,32,32,201,500,7,-1,-1,46000,87000,3,2/14/1900
1,32,35,1001,5000,64,-1,1000000,46000,87000,2.9,2/15/1900
1,32,5,1,50,-1,-1,-1,46000,87000,4,2/16/1900
1,32,32,501,1000,13,100000000,500000000,46000,87000,3.6,2/17/1900
1,32,32,1,50,30,-1,-1,46000,87000,4.9,2/18/1900
1,32,5,1001,5000,18,-1,1000000,46000,87000,3.9,2/19/1900
1,32,5,10000,10000,97,10000000000,10000000000,46000,87000,4,2/20/1900
1,32,13,1001,5000,30,50000000,100000000,46000,87000,3.8,2/21/1900
1,30,5,1001,5000,30,100000000,500000000,46000,87000,3.7,2/22/1900
1,32,32,51,200,5,-1,-1,46000,87000,3.6,2/23/1900
1,30,32,201,500,51,50000000,100000000,46000,87000,3.6,2/24/1900
1,32,52,-1,-1,-1,-1,-1,46000,87000,-1,2/25/1900
1,32,5,10000,10000,97,10000000000,10000000000,46000,87000,4,2/26/1900
1,32,32,1001,5000,69,-1,1000000,46000,87000,3.2,2/27/1900
1,32,32,10000,10000,39,-1,-1,46000,87000,3.8,2/28/1900
1,32,32,51,200,20,25000000,50000000,46000,87000,3.9,2/29/1900
1,32,32,51,200,3,-1,-1,51000,88000,4.8,3/1/1900
1,32,24,1001,5000,22,-1,1000000,51000,88000,3.6,3/2/1900
1,32,24,1001,5000,22,-1,1000000,51000,88000,3.6,3/3/1900
1,32,24,1001,5000,22,-1,1000000,51000,88000,3.6,3/4/1900
1,32,9,10000,10000,54,1000000000,2000000000,51000,88000,4.1,3/5/1900
1,32,52,1001,5000,15,2000000000,5000000000,51000,88000,3.9,3/6/1900
1,32,32,1,50,-1,1000000,5000000,51000,88000,3,3/7/1900
1,32,32,1001,5000,81,-1,1000000,51000,88000,3.7,3/8/1900
1,32,52,-1,-1,-1,-1,-1,51000,88000,-1,3/9/1900
1,32,30,501,1000,18,100000000,500000000,51000,88000,3.9,3/10/1900
1,32,30,51,200,21,50000000,100000000,51000,88000,3.7,3/11/1900
1,32,32,1,50,-1,-1,-1,51000,88000,-1,3/12/1900
1,32,6,201,500,-1,-1,-1,51000,88000,3.6,3/13/1900
1,32,32,10000,10000,208,10000000000,10000000000,51000,88000,3.7,3/14/1900
1,32,32,501,1000,-1,100000000,500000000,51000,88000,3.6,3/15/1900
1,32,32,10000,10000,75,-1,-1,51000,88000,4.1,3/16/1900
1,32,32,10000,10000,35,5000000000,10000000000,51000,88000,3.5,3/17/1900
1,30,10,1001,5000,-1,-1,-1,51000,88000,3.7,3/18/1900
1,32,32,1,50,-1,-1,-1,51000,88000,5,3/19/1900
1,32,30,1,50,-1,1000000,5000000,51000,88000,4,3/20/1900
1,32,5,51,200,-1,-1,-1,51000,88000,4.8,3/21/1900
1,32,5,1,50,-1,-1,-1,51000,88000,5,3/22/1900
1,32,32,501,1000,17,-1,-1,51000,88000,3.3,3/23/1900
1,32,32,501,1000,36,100000000,500000000,51000,88000,4.1,3/24/1900
1,32,30,1,50,-1,-1,-1,51000,88000,4,3/25/1900
1,32,34,-1,-1,-1,-1,-1,51000,88000,-1,3/26/1900
1,32,32,1,50,-1,-1,-1,51000,88000,1,3/27/1900
1,32,46,51,200,9,10000000,25000000,51000,88000,3.1,3/28/1900
1,32,32,1001,5000,16,-1,-1,51000,88000,4.5,3/29/1900
1,32,51,1001,5000,13,-1,1000000,51000,88000,3.4,3/30/1900
1,32,52,-1,-1,-1,-1,-1,51000,87000,-1,3/31/1900
1,32,32,1001,5000,58,2000000000,5000000000,51000,87000,3.6,4/1/1900
1,32,5,1001,5000,24,-1,1000000,51000,87000,4.1,4/2/1900
1,32,43,201,500,9,10000000,25000000,51000,87000,4.4,4/3/1900
1,30,46,1001,5000,25,2000000000,5000000000,51000,87000,3.8,4/4/1900
1,32,13,1,50,-1,1000000,5000000,51000,87000,3.2,4/5/1900
1,32,5,1,50,-1,-1,-1,51000,87000,-1,4/6/1900
1,32,30,501,1000,-1,-1,-1,51000,87000,3.8,4/7/1900
1,32,32,201,500,3,-1,-1,51000,87000,4.7,4/8/1900
1,32,32,1,50,-1,10000000,25000000,51000,87000,2.3,4/9/1900
1,32,32,1001,5000,8,-1,-1,51000,87000,3.8,4/10/1900
1,32,22,201,500,9,10000000,25000000,51000,87000,4.6,4/11/1900
1,32,33,1001,5000,53,1000000000,2000000000,51000,87000,3,4/12/1900
1,32,32,10000,10000,221,10000000000,10000000000,51000,87000,3.9,4/13/1900
1,32,32,201,500,-1,25000000,50000000,51000,87000,3,4/14/1900
1,32,32,51,200,-1,-1,-1,51000,87000,4.2,4/15/1900
1,32,32,51,200,-1,5000000,10000000,51000,87000,5,4/16/1900
1,32,22,501,1000,16,50000000,100000000,51000,87000,4,4/17/1900
1,32,32,51,200,-1,-1,-1,51000,87000,-1,4/18/1900
1,30,52,-1,-1,-1,-1,-1,51000,87000,-1,4/19/1900
